commons-vfs-1.0.jar                           Dependency of reflections
dom4j-1.6.1.jar                               Dependency of reflections and Hibernate
ejb3-persistence-1.0.1.GA.jar                 JPA
hamcrest-all-1.2RC3.jar                       Used for fluent validation, and testing
hibernate-3.2.0.ga.jar                        Hibernate
hibernate-annotations-3.3.1.GA.jar            Hibernate
hibernate-commons-annotations-3.3.0.ga.jar    Hibernate
hibernate-validator-3.0.0.ga.jar              Hibernate Validation
iogi.jar                                      Different parameter instantiator from request parameters
jmock-2.4.0.jar                               Testing
jmock-junit4-2.4.0.jar                        Testing
joda-time-1.6.jar                             Better Date/Time API
jsp-api-2.1.jar                               Server runtime
jsr250-api-1.0.jar                            Standard annotations
jta-1.0.1B.jar                                JTA
junit-4.5.jar                                 Testing
picocontainer-2.8.jar                         Alternative DI provider
reflections-0.9.4.jar                         Classpath scanning. You need this when using Pico as DI Provider
servlet-api-2.5.jar                           Server Runtime
vraptor2-2.6.2.jar                            Compatibility mode with VRaptor2
